Date,nifty,ftse,nasdaq,nikkei,dax,s&p
1/3/2005,2115,,2152.15,,4291.53,1202.1
1/4/2005,2103.75,4847,2107.86,11517.75,4290.5,1188
1/5/2005,2032.2,4806,2091.24,11437.52,4258.24,1183.7
1/6/2005,1998.35,4824.3,2090,11492.26,4300.94,1187.9
1/7/2005,2015.5,4854.1,2088.61,11433.24,4316.4,1186.2
1/10/2005,1982,4840.7,2097.04,11433.24,4307.37,1190.2
1/11/2005,1952.05,4818.7,2079.62,11539.99,4258.01,1183
1/12/2005,1913.6,4783.6,2092.53,11453.39,4208.82,1187.7
1/13/2005,1954.55,4800.3,2070.56,11358.22,4212.14,1177.5
1/14/2005,1931.1,4820.8,2087.91,11438.39,4232.36,1184.5
1/17/2005,1932.9,4846.7,2087.91,11487.1,4245.51,1184.5
1/18/2005,1934.05,4823.9,2106.04,11423.26,4250.71,1196
1/19/2005,1926.65,4818.3,2073.59,11405.34,4245.55,1184.6
1/20/2005,1925.3,4800.8,2045.88,11284.77,4220.43,1175.4
1/24/2005,1909,4812.5,2008.7,11289.49,4201.89,1163.8
1/25/2005,1931.85,4843.2,2019.95,11276.91,4233.95,1168.4
1/27/2005,1955,4853.4,2047.15,11341.31,4216.41,1174.5
1/28/2005,2008.3,4832.8,2035.83,11320.58,4201.81,1171.4
1/31/2005,2057.6,4852.3,2062.41,11387.59,4254.85,1181.3
2/1/2005,2059.85,4906.2,2068.7,11384.4,4279.97,1189.4
2/2/2005,2052.25,4916.2,2075.06,11407.14,4296.31,1193.2
2/3/2005,2079.45,4908.3,2057.64,11389.35,4281.64,1189.9
2/4/2005,2077.95,4941.5,2086.66,11360.4,4339.28,1203
2/7/2005,2055.1,4979.8,2082.03,11499.86,4366.35,1201.7
2/8/2005,2055.15,4995.5,2086.68,11490.43,4371.39,1202.3
2/9/2005,2070,4990.4,2052.55,11473.35,4353.15,1192
2/10/2005,2063.35,5000,2053.1,11553.56,4342.01,1197
2/11/2005,2082.05,5044.2,2076.66,11553.56,4387.8,1205.3
2/14/2005,2098.25,5041.8,2082.91,11632.2,4386.4,1206.1
2/15/2005,2089.95,5058.9,2089.21,11646.49,4402.03,1210.1
2/16/2005,2068.8,5053.2,2087.43,11601.68,4368.77,1210.3
2/17/2005,2061.9,5057.4,2061.34,11582.72,4369.68,1200.8
2/18/2005,2055.55,5057.2,2058.62,11660.12,4359.47,1201.6
2/21/2005,2043.2,5060.8,2058.62,11651.02,4353.34,1201.6
2/22/2005,2058.4,5032.9,2030.32,11597.71,4323.21,1184.2
2/23/2005,2057.1,4988.5,2031.25,11500.18,4310.66,1190.8
2/24/2005,2055.3,4972.1,2051.7,11531.15,4304.29,1200.2
2/25/2005,2060.9,5006.8,2065.4,11658.25,4348.64,1211.4
2/28/2005,2103.25,4968.5,2051.72,11740.6,4350.49,1203.6
3/1/2005,2084.4,5000.5,2071.25,11780.53,4383.62,1210.4
3/2/2005,2093.25,4992.8,2067.5,11813.71,4393.43,1210.1
3/3/2005,2128.85,5014.8,2058.4,11856.46,4373.27,1210.5
3/4/2005,2148.15,5036.3,2070.61,11873.05,4423.52,1222.1
3/7/2005,2160.1,5027.2,2090.21,11925.36,4428.09,1225.3
3/8/2005,2168.95,5010.9,2073.55,11886.91,4396.5,1219.4
3/9/2005,2160.8,4996.1,2061.29,11966.69,4375.6,1207
3/10/2005,2167.4,4962.1,2059.72,11864.91,4337.68,1209.2
3/11/2005,2154,4982,2041.6,11923.89,4360.49,1200.1
3/14/2005,2146.35,4975,2051.04,11850.25,4367.3,1206.8
3/15/2005,2128.95,5000.2,2034.98,11821.09,4387.69,1197.8
3/16/2005,2125.55,4937.6,2015.75,11873.18,4309.11,1188.1
3/17/2005,2098.5,4922.1,2016.42,11775.5,4315.92,1190.2
3/18/2005,2109.15,4923.3,2007.79,11879.81,4327.18,1189.7
3/21/2005,2096.6,4933.5,2007.51,11879.81,4296.36,1183.8
3/22/2005,2061.6,4937.3,1989.34,11841.97,4320.69,1171.7
3/23/2005,2026.4,4910.4,1990.22,11739.12,4317.2,1172.5
3/24/2005,2015.4,4922.5,1991.06,11745.97,4343.6,1171.4
3/28/2005,2029.45,4922.5,1992.52,11792.3,4343.6,1174.3
3/29/2005,1983.85,4919,1973.88,11599.82,4351.89,1165.4
3/30/2005,1993.7,4900.7,2005.67,11565.88,4347.52,1181.4
3/31/2005,2035.65,4894.4,1999.23,11668.95,4348.77,1180.6
4/1/2005,2067.65,4914,1984.81,11723.63,4373.53,1172.9
4/4/2005,2063.4,4896.7,1991.07,11667.54,4341.39,1176.1
4/5/2005,2052.55,4942.9,1999.32,11774.31,4362.61,1181.4
4/6/2005,2069.3,4947.4,1999.14,11827.16,4379.18,1184.1
4/7/2005,2052.85,4977,2018.79,11810.99,4389.52,1191.1
4/8/2005,2031.2,4983.6,1999.35,11874.75,4400.68,1181.2
4/11/2005,2008.2,4973.2,1992.12,11745.64,4396.09,1181.2
4/12/2005,2024.95,4946.2,2005.4,11670.3,4372.12,1187.8
4/13/2005,2025.45,4960.8,1974.37,11637.52,4405.69,1173.8
4/15/2005,1956.3,4891.6,1908.15,11370.69,4312.25,1142.6
4/18/2005,1927.8,4827.1,1912.92,10938.44,4202.2,1146
4/19/2005,1909.4,4855.6,1932.36,11065.86,4204.61,1152.8
4/20/2005,1929.7,4822,1913.76,11088.58,4178.62,1137.5
4/21/2005,1948.55,4819.6,1962.41,10984.39,4193.7,1160
4/22/2005,1967.35,4849.3,1932.19,11045.95,4223.04,1152.1
4/25/2005,1970.95,4864.9,1950.78,11073.77,4246.96,1162.1
4/26/2005,1957.1,4845.5,1927.44,11035.83,4233.76,1151.7
4/27/2005,1935.4,4789.4,1930.43,11005.42,4189.02,1156.4
4/28/2005,1941.3,4790.2,1904.18,11008.9,4178.1,1143.2
4/29/2005,1902.5,4801.7,1921.65,11008.9,4184.84,1156.8
5/2/2005,1916.75,4801.7,1928.65,11002.11,4224.02,1162.2
5/3/2005,1920.7,4861.2,1933.07,11002.11,4245.54,1161.2
5/4/2005,1942.6,4882.5,1962.23,11002.11,4264.35,1175.7
5/5/2005,1963.3,4902.3,1961.8,11002.11,4299.51,1172.6
5/6/2005,1977.5,4918.9,1967.35,11192.17,4311.06,1171.3
5/9/2005,2000.75,4910.3,1979.67,11171.32,4292.41,1178.8
5/10/2005,1994.3,4892.4,1962.77,11159.46,4251.13,1166.2
5/11/2005,1985.95,4875.4,1971.55,11120.7,4244.16,1171.1
5/12/2005,1993.15,4893.2,1963.88,11077.94,4267.05,1159.4
5/13/2005,1988.3,4886.5,1976.78,11049.11,4275.7,1154
5/16/2005,2012.6,4884.2,1994.43,10947.22,4262.18,1165.7
5/17/2005,1990.8,4898.5,2004.15,10825.39,4251.77,1173.8
5/18/2005,1982.75,4949.4,2030.65,10835.41,4324.6,1185.6
5/19/2005,1990.85,4962.7,2042.58,11077.16,4360.42,1191.1
5/20/2005,1992.4,4971.8,2046.42,11037.29,4360.68,1189.3
5/23/2005,2013.9,4989.8,2056.65,11158.65,4406.95,1193.9
5/24/2005,2028.6,4982.5,2061.62,11133.65,4396.64,1194.1
5/25/2005,2043.85,4971.5,2050.12,11014.43,4389.54,1190
5/26/2005,2074.7,4994.9,2071.24,11027.94,4436.6,1197.6
5/27/2005,2076.4,4986.3,2075.73,11192.33,4444.71,1198.8
5/30/2005,2072.4,4986.3,2075.73,11266.33,4480.43,1198.8
5/31/2005,2087.55,4964,2068.22,11276.59,4460.63,1191.5
6/1/2005,2087.55,5011,2087.86,11329.67,4527.17,1202.3
6/2/2005,2064.65,5005,2097.8,11280.05,4532.17,1204.3
6/3/2005,2094.25,4999.4,2071.43,11300.05,4510.39,1196
6/4/2005,2092.35,4999.4,2071.43,11300.05,4510.39,1196
6/6/2005,2092.8,4980.4,2075.76,11270.62,4497.26,1197.5
6/7/2005,2098.15,5025.2,2067.16,11217.45,4566.01,1197.3
6/8/2005,2112.4,5003.7,2060.18,11281.03,4557.29,1194.7
6/9/2005,2103.2,5009.2,2076.91,11160.88,4562.75,1200.9
6/10/2005,2090.6,5030.4,2063,11304.23,4586.1,1198.1
6/13/2005,2102.75,5050.4,2068.96,11311.51,4599.21,1200.8
6/14/2005,2112.35,5046.8,2069.04,11335.92,4591.69,1203.9
6/15/2005,2128.65,5019.5,2074.92,11415.88,4548.42,1206.6
6/16/2005,2123.7,5045,2089.15,11416.38,4579.87,1211
6/17/2005,2123.4,5077.6,2090.11,11514.03,4604.57,1217
6/20/2005,2144.35,5072,2088.13,11483.35,4586.86,1216.1
6/21/2005,2170,5082.1,2091.07,11488.74,4608.11,1213.6
6/22/2005,2187.35,5099.3,2092.03,11547.28,4619.6,1213.9
6/23/2005,2183.85,5114.4,2070.66,11576.75,4627.48,1200.7
6/24/2005,2194.35,5079,2053.27,11537.03,4566.48,1191.6
6/27/2005,2199.8,5043.5,2045.2,11414.28,4523.82,1190.7
6/28/2005,2169.85,5090.4,2069.89,11513.83,4557.46,1201.6
6/29/2005,2191.65,5109.1,2068.89,11577.44,4583.63,1199.8
6/30/2005,2220.6,5113.2,2056.96,11584.01,4586.28,1191.3
7/1/2005,2211.9,5161,2057.37,11630.13,4617.07,1194.4
7/4/2005,2230.65,5184.3,2057.37,11651.55,4623.41,1194.4
7/5/2005,2210.75,5190.1,2078.75,11616.7,4603.65,1205
7/6/2005,2228.2,5229.6,2068.65,11603.53,4615.49,1194.9
7/7/2005,2179.4,5158.3,2075.66,11590.14,4530.18,1197.9
7/8/2005,2196.2,5232.2,2112.88,11565.99,4597.97,1211.9
7/11/2005,2218.85,5242.4,2135.43,11674.79,4663.38,1219.4
7/12/2005,2220.8,5217.2,2143.15,11692.14,4653.03,1222.2
7/13/2005,2204.05,5245.9,2144.11,11659.84,4679.89,1223.3
7/14/2005,2185.1,5259.7,2152.82,11764.26,4699.27,1226.5
7/15/2005,2212.55,5230.8,2156.78,11758.68,4712.9,1227.9
7/18/2005,2234,5214.2,2144.87,11758.68,4719.57,1221.1
7/19/2005,2237.3,5201.5,2173.18,11764.84,4770.54,1229.3
7/20/2005,2241.9,5215.2,2188.57,11789.35,4784.5,1235.2
7/21/2005,2230.5,5221.6,2178.6,11786.73,4829.87,1227
7/22/2005,2265.6,5241.8,2179.74,11695.05,4836.9,1233.7
7/25/2005,2291.75,5270.7,2166.74,11762.65,4842.7,1229
7/26/2005,2303.15,5256.2,2175.99,11737.96,4843.49,1231.2
7/27/2005,2319.1,5263.6,2186.22,11835.08,4855.35,1236.8
7/29/2005,2312.3,5282.3,2184.83,11899.6,4886.5,1234.2
8/1/2005,2318.05,5290.8,2195.38,11946.92,4890.85,1235.3
8/2/2005,2353.65,5327.5,2218.15,11940.2,4932.87,1244.1
8/3/2005,2357,5332.3,2216.81,11981.8,4923.12,1245
8/4/2005,2367.8,5315.5,2191.32,11883.31,4874.06,1235.9
8/5/2005,2361.2,5314.7,2177.91,11766.48,4827.18,1226.4
8/8/2005,2324.4,5344.3,2164.39,11778.98,4837.86,1223.1
8/9/2005,2318.7,5363.7,2174.19,11900.32,4909.48,1231.4
8/10/2005,2360.15,5377.5,2157.81,12098.08,4990.57,1229.1
8/11/2005,2380.9,5358.6,2174.55,12263.32,4953.93,1237.8
8/12/2005,2361.55,5345.8,2156.9,12261.68,4937.33,1230.4
8/16/2005,2369.8,5322.3,2137.06,12315.67,4883.81,1219.3
8/17/2005,2403.15,5292.7,2145.15,12273.12,4871.46,1220.2
8/18/2005,2388.45,5269.3,2136.08,12307.37,4851.27,1219
8/19/2005,2383.45,5312.6,2135.56,12291.73,4929.91,1219.7
8/22/2005,2367.85,5318.4,2141.41,12452.51,4941.69,1221.7
8/23/2005,2326.1,5300.2,2137.25,12472.93,4917.74,1217.6
8/24/2005,2322.5,5275.2,2128.91,12502.26,4915.95,1209.6
8/25/2005,2354.55,5255.7,2134.37,12405.16,4856.01,1212.4
8/26/2005,2357.05,5228.1,2120.77,12439.48,4783.8,1205.1
8/29/2005,2337.65,5228.1,2137.65,12309.83,4812.24,1212.3
8/30/2005,2367.75,5255.8,2129.76,12453.14,4791.72,1208.4
8/31/2005,2384.65,5296.9,2152.09,12413.6,4829.69,1220.3
9/1/2005,2405.75,5328.5,2147.9,12506.97,4842.94,1221.6
9/2/2005,2415.8,5326.8,2141.07,12600,4837.81,1218
9/5/2005,2422.95,5337.8,2141.07,12634.88,4909.89,1218
9/6/2005,2428.65,5359.2,2166.86,12599.43,4968.28,1233.4
9/8/2005,2454.45,5340.8,2166.03,12533.89,4992.75,1231.7
9/9/2005,2455.45,5359.3,2175.51,12692.04,5005.93,1241.5
9/12/2005,2484.15,5375.1,2182.83,12896.43,4989.98,1240.6
9/13/2005,2500.35,5338,2171.75,12901.95,4901.88,1231.2
9/14/2005,2492.45,5347.4,2149.33,12834.25,4911.17,1227.2
9/15/2005,2523.95,5383.5,2146.15,12986.78,4905.98,1227.7
9/16/2005,2552.35,5407.9,2160.35,12958.68,4986.5,1237.9
9/19/2005,2567.1,5429.7,2145.26,12958.68,4926.13,1231
9/20/2005,2578,5416.4,2131.33,13148.57,4962.86,1221.3
9/21/2005,2567.3,5369.7,2106.64,13196.57,4875.22,1210.2
